customer_id,customer_name,customer_type,country,occupation_industry,kyc_risk,pep_flag,expected_monthly_volume,account_open_date
CUST1110,Customer 111,Individual,GB,Technology,Low,0,4399.06,2021-01-05
CUST1111,Customer 112,Business,CA,Logistics,Medium,0,4366.9,2022-04-12
CUST1112,Customer 113,Individual,MX,Construction,Medium,0,5403.11,2023-02-17
CUST1113,Customer 114,Business,US,Construction,Low,0,2498.21,2022-02-24
CUST1114,Customer 115,Individual,US,Retail,Low,0,2799.4,2020-08-22
CUST1115,Customer 116,Individual,GB,Education,Low,0,1189.38,2024-02-19
CUST1116,Customer 117,Individual,GH,Finance,Low,0,2731.99,2023-09-20
CUST1117,Customer 118,Individual,US,Retail,Low,0,1444.45,2022-01-16
CUST1118,Customer 119,Individual,CA,Hospitality,Low,0,3314.15,2020-03-08
CUST1119,Customer 120,Individual,US,Technology,Low,0,1953.82,2022-04-07
CUST1120,Customer 121,Individual,US,Logistics,Low,0,3888.59,2021-05-14
CUST1121,Customer 122,Individual,NG,Education,Low,0,4888.33,2022-03-15
CUST1122,Customer 123,Individual,US,Finance,Low,0,1446.53,2019-10-28
CUST1123,Customer 124,Individual,GB,Education,High,0,2146.02,2021-12-27
CUST1124,Customer 125,Individual,US,Healthcare,Low,0,1972.09,2019-05-03
CUST1125,Customer 126,Individual,MX,Healthcare,Low,0,5914.85,2021-08-31
CUST1126,Customer 127,Individual,US,Consulting,Medium,0,11038.4,2023-08-05
CUST1127,Customer 128,Individual,US,Technology,Low,0,6332.81,2020-01-22
CUST1128,Customer 129,Individual,GB,Consulting,Low,0,2901.19,2019-11-03
CUST1129,Customer 130,Individual,US,Construction,High,0,9435.69,2020-12-09
CUST1130,Customer 131,Business,GB,Construction,High,0,1360.8,2024-12-14
CUST1131,Customer 132,Individual,US,Education,Medium,0,9648.74,2020-09-27
CUST1132,Customer 133,Individual,US,Retail,Low,0,2376.68,2025-03-10
CUST1133,Customer 134,Individual,US,Consulting,Low,0,597.53,2020-08-18
CUST1134,Customer 135,Business,MX,Logistics,Low,0,20394.55,2019-05-18
CUST1135,Customer 136,Individual,US,Student,Low,0,10154.93,2024-02-22
CUST1136,Customer 137,Business,US,Finance,Low,0,1861.76,2019-10-13
CUST1137,Customer 138,Individual,CA,Education,Low,0,4063.73,2019-10-01
CUST1138,Customer 139,Individual,US,Technology,Medium,0,3167.11,2022-07-05
CUST1139,Customer 140,Business,US,Hospitality,Low,1,3891.09,2020-05-08
CUST1140,Customer 141,Individual,US,Hospitality,Low,0,1388.34,2022-12-21
CUST1141,Customer 142,Individual,US,Hospitality,High,0,2337.95,2022-06-17
CUST1142,Customer 143,Individual,US,Hospitality,Low,0,4935.33,2023-09-10
CUST1143,Customer 144,Business,AE,Technology,Low,0,4208.04,2021-01-20
CUST1144,Customer 145,Individual,US,Retail,Low,0,7938.7,2020-11-01
CUST1145,Customer 146,Business,US,Healthcare,Medium,0,3834.67,2020-07-30
CUST1146,Customer 147,Individual,GB,Logistics,Medium,0,16764.09,2023-12-03
CUST1147,Customer 148,Individual,GB,Logistics,Low,0,2286.49,2021-06-15
CUST1148,Customer 149,Individual,US,Logistics,Medium,0,4309.45,2024-08-07
CUST1149,Customer 150,Business,NG,Construction,Low,0,1047.74,2022-04-19
CUST1150,Customer 151,Individual,US,Logistics,Low,0,1612.37,2024-03-20
CUST1151,Customer 152,Individual,CA,Logistics,Medium,0,8634.68,2023-06-07
CUST1152,Customer 153,Individual,GH,Retail,High,0,1972.74,2023-07-21
CUST1153,Customer 154,Individual,CA,Technology,Medium,0,5140.67,2025-05-22
CUST1154,Customer 155,Individual,CA,Logistics,Medium,0,3497.66,2021-12-23
CUST1155,Customer 156,Business,US,Hospitality,Low,0,1846.49,2024-08-08
CUST1156,Customer 157,Individual,US,Construction,Low,0,2903.4,2024-06-02
CUST1157,Customer 158,Individual,US,Logistics,High,0,2606.46,2021-10-28
CUST1158,Customer 159,Individual,GB,Student,Low,0,2652.38,2023-07-29
CUST1159,Customer 160,Individual,US,Logistics,Low,0,5942.26,2021-12-19
CUST1160,Customer 161,Individual,US,Technology,Medium,0,5563.73,2023-05-19
CUST1161,Customer 162,Business,GB,Technology,Medium,0,2501.57,2021-09-24
CUST1162,Customer 163,Business,US,Construction,Medium,0,2019.05,2022-03-29
CUST1163,Customer 164,Individual,US,Hospitality,Low,0,4374.38,2020-07-27
CUST1164,Customer 165,Individual,GH,Education,Low,0,3411.78,2023-03-06
CUST1165,Customer 166,Individual,US,Retail,Low,0,7103.79,2025-04-03
CUST1166,Customer 167,Individual,GH,Hospitality,Medium,0,20454.14,2021-04-29
CUST1167,Customer 168,Individual,NG,Consulting,High,0,6297.46,2019-06-14
CUST1168,Customer 169,Individual,US,Consulting,Low,0,3559.68,2023-08-27
CUST1169,Customer 170,Business,GB,Technology,Medium,0,3255.73,2020-05-06
CUST1170,Customer 171,Individual,US,Retail,Low,0,2086.3,2023-07-29
CUST1171,Customer 172,Individual,US,Education,Low,0,2019.62,2023-05-08
CUST1172,Customer 173,Individual,AE,Education,Low,0,1896.53,2025-03-27
CUST1173,Customer 174,Individual,US,Logistics,Low,1,2815.89,2022-11-15
CUST1174,Customer 175,Individual,US,Construction,Low,0,2758.26,2019-10-16
CUST1175,Customer 176,Individual,CA,Construction,Low,0,5904.23,2020-10-30
CUST1176,Customer 177,Individual,CA,Student,Medium,0,2809.19,2020-10-13
CUST1177,Customer 178,Individual,US,Construction,Low,0,3202.41,2025-02-26
CUST1178,Customer 179,Individual,US,Consulting,Medium,1,1649.33,2024-08-26
CUST1179,Customer 180,Individual,US,Student,High,0,10603.87,2021-09-09
CUST1180,Customer 181,Business,US,Student,Low,0,5062.12,2024-10-06
CUST1181,Customer 182,Individual,US,Retail,Low,0,11646.58,2022-12-02
CUST1182,Customer 183,Business,US,Construction,High,0,6111.79,2021-01-24
CUST1183,Customer 184,Individual,SG,Technology,Low,0,9587.96,2019-08-07
CUST1184,Customer 185,Business,US,Consulting,Low,0,3097.91,2025-01-01
CUST1185,Customer 186,Individual,US,Retail,Low,0,5803.14,2024-11-08
CUST1186,Customer 187,Individual,US,Technology,High,0,21132.75,2023-11-27
CUST1187,Customer 188,Individual,US,Healthcare,Low,0,1643.7,2019-09-05
CUST1188,Customer 189,Individual,MX,Healthcare,Low,0,7821.06,2022-08-31
CUST1189,Customer 190,Individual,AE,Technology,Low,0,10978.17,2021-08-03
CUST1190,Customer 191,Individual,US,Technology,Low,0,4787.35,2023-06-27
CUST1191,Customer 192,Individual,US,Hospitality,Low,0,5987.25,2024-10-26
CUST1192,Customer 193,Individual,AE,Education,High,0,8364.59,2022-07-09
CUST1193,Customer 194,Individual,US,Student,High,0,2355.03,2025-03-17
CUST1194,Customer 195,Individual,CA,Hospitality,Low,0,4775.8,2020-04-09
CUST1195,Customer 196,Individual,US,Hospitality,Low,0,2044.27,2024-12-09
CUST1196,Customer 197,Individual,AE,Hospitality,Low,0,2323.17,2024-09-26
CUST1197,Customer 198,Individual,US,Finance,Medium,0,2415.07,2024-06-09
CUST1198,Customer 199,Business,US,Consulting,Medium,0,3310.74,2025-04-04
CUST1199,Customer 200,Individual,US,Retail,Medium,0,4013.24,2020-07-13
CUST1200,Customer 201,Individual,US,Finance,Low,0,4919.55,2020-04-07
CUST1201,Customer 202,Individual,GH,Hospitality,Low,0,1417.87,2019-03-18
CUST1202,Customer 203,Individual,GH,Finance,Medium,0,13594.27,2023-12-23
CUST1203,Customer 204,Individual,US,Consulting,Low,0,7858.05,2021-12-20
CUST1204,Customer 205,Individual,NG,Consulting,Medium,0,5903.59,2020-12-01
CUST1205,Customer 206,Individual,US,Hospitality,Low,0,2869.1,2019-06-01
CUST1206,Customer 207,Individual,US,Technology,Low,0,3431.15,2020-09-26
CUST1207,Customer 208,Business,US,Logistics,High,0,5243.57,2025-04-24
CUST1208,Customer 209,Business,US,Student,Low,0,4788.33,2019-06-19
CUST1209,Customer 210,Individual,US,Hospitality,Low,0,1189.53,2019-01-20
CUST1210,Customer 211,Individual,GB,Construction,Low,0,5964.21,2020-08-26
CUST1211,Customer 212,Individual,NG,Healthcare,Medium,0,25396.35,2021-02-20
CUST1212,Customer 213,Individual,US,Construction,Low,0,1063.54,2020-04-21
CUST1213,Customer 214,Individual,GB,Hospitality,Low,0,7064.17,2020-05-02
CUST1214,Customer 215,Individual,GH,Consulting,Low,1,4656.53,2022-07-28
CUST1215,Customer 216,Individual,US,Construction,Low,0,3380.0,2019-02-02
CUST1216,Customer 217,Business,US,Healthcare,Low,0,9086.64,2025-06-13
CUST1217,Customer 218,Individual,CA,Healthcare,Low,0,1654.35,2022-04-12
CUST1218,Customer 219,Individual,US,Hospitality,Low,0,4058.67,2021-05-31
CUST1219,Customer 220,Individual,CA,Finance,Medium,0,9665.04,2019-07-02
CUST1220,Customer 221,Business,US,Logistics,Low,0,3192.74,2020-04-13
CUST1221,Customer 222,Individual,CA,Logistics,High,1,2754.47,2024-11-29
CUST1222,Customer 223,Individual,US,Hospitality,High,0,3931.14,2021-03-16
CUST1223,Customer 224,Individual,US,Healthcare,Low,0,2705.68,2023-07-09
CUST1224,Customer 225,Individual,US,Logistics,Low,0,10228.77,2020-01-28
CUST1225,Customer 226,Individual,CA,Hospitality,Medium,0,1986.84,2021-06-07
CUST1226,Customer 227,Individual,US,Logistics,Low,0,6522.45,2021-02-21
CUST1227,Customer 228,Individual,SG,Consulting,Medium,0,1577.59,2024-07-12
CUST1228,Customer 229,Business,US,Retail,Low,0,5692.6,2021-08-15
CUST1229,Customer 230,Individual,US,Construction,Medium,0,3394.56,2024-03-27
CUST1230,Customer 231,Individual,US,Construction,Low,0,648.16,2025-01-21
CUST1231,Customer 232,Individual,US,Education,Medium,0,3626.44,2021-02-22
CUST1232,Customer 233,Business,US,Consulting,High,0,1784.85,2020-05-21
CUST1233,Customer 234,Business,NG,Retail,Low,0,2705.64,2024-07-26
CUST1234,Customer 235,Individual,GB,Finance,Medium,0,10178.25,2025-02-03
CUST1235,Customer 236,Individual,US,Hospitality,Low,0,1725.76,2025-02-08
CUST1236,Customer 237,Individual,US,Construction,Low,0,1792.8,2019-11-14
CUST1237,Customer 238,Individual,US,Finance,Low,0,9533.56,2023-01-27
CUST1238,Customer 239,Individual,NG,Healthcare,Low,0,3934.26,2019-10-07
CUST1239,Customer 240,Business,US,Hospitality,Low,0,10199.31,2021-04-24
CUST1240,Customer 241,Individual,MX,Healthcare,Medium,0,4519.67,2021-09-03
CUST1241,Customer 242,Individual,CA,Healthcare,Low,0,2019.1,2024-12-01
CUST1242,Customer 243,Individual,CA,Logistics,Medium,0,3483.15,2023-10-26
CUST1243,Customer 244,Individual,NG,Logistics,High,0,8280.71,2025-03-12
CUST1244,Customer 245,Individual,GB,Finance,High,0,6828.62,2024-06-26
CUST1245,Customer 246,Individual,US,Student,High,0,3643.11,2021-04-13
CUST1246,Customer 247,Individual,US,Finance,Medium,0,3761.58,2024-09-07
CUST1247,Customer 248,Individual,US,Healthcare,Low,0,3377.17,2019-07-27
CUST1248,Customer 249,Business,US,Retail,High,0,2473.69,2020-04-28
CUST1249,Customer 250,Individual,US,Education,Low,0,13237.67,2024-09-13
CUST1250,Customer 251,Individual,US,Consulting,Medium,0,3658.49,2019-05-12
CUST1251,Customer 252,Individual,CA,Healthcare,High,0,1709.76,2023-05-15
CUST1252,Customer 253,Individual,US,Finance,Medium,0,2647.12,2024-11-09
CUST1253,Customer 254,Individual,US,Logistics,Low,0,5916.1,2020-07-10
CUST1254,Customer 255,Individual,US,Healthcare,Low,0,5589.88,2023-08-01
CUST1255,Customer 256,Individual,US,Student,Low,0,3322.09,2022-09-22
CUST1256,Customer 257,Individual,SG,Consulting,Low,0,2329.21,2023-08-12
CUST1257,Customer 258,Individual,US,Technology,Low,0,3699.59,2021-01-09
CUST1258,Customer 259,Individual,US,Hospitality,Low,0,1189.81,2019-10-06
CUST1259,Customer 260,Individual,US,Retail,Medium,0,1525.4,2025-01-15
CUST1260,Customer 261,Individual,US,Finance,High,0,6209.96,2019-09-07
CUST1261,Customer 262,Individual,US,Healthcare,Low,0,2643.08,2021-04-01
CUST1262,Customer 263,Individual,US,Construction,Low,0,4677.71,2019-01-03
CUST1263,Customer 264,Individual,US,Construction,Low,0,8218.85,2020-04-16
CUST1264,Customer 265,Individual,US,Construction,Low,0,5620.32,2023-04-14
CUST1265,Customer 266,Individual,NG,Student,Low,0,3691.45,2019-04-14
CUST1266,Customer 267,Business,US,Student,Medium,0,15096.05,2020-06-08
CUST1267,Customer 268,Individual,US,Technology,Low,0,5688.63,2021-04-02
CUST1268,Customer 269,Individual,US,Consulting,Low,0,2872.97,2021-03-07
CUST1269,Customer 270,Business,US,Healthcare,Low,0,5938.74,2025-07-02
CUST1270,Customer 271,Individual,GH,Healthcare,Medium,0,4781.81,2020-03-23
CUST1271,Customer 272,Individual,US,Construction,Low,0,2054.95,2020-06-08
CUST1272,Customer 273,Individual,MX,Student,Low,0,3822.88,2023-12-26
CUST1273,Customer 274,Business,AE,Hospitality,Low,0,3260.85,2022-01-04
CUST1274,Customer 275,Individual,CA,Hospitality,High,0,978.47,2022-04-09
CUST1275,Customer 276,Individual,US,Consulting,Low,0,3244.73,2025-05-22
CUST1276,Customer 277,Individual,CA,Construction,Medium,0,3013.37,2020-05-08
CUST1277,Customer 278,Individual,US,Construction,Low,0,2716.46,2019-01-17
CUST1278,Customer 279,Individual,NG,Finance,High,0,1212.92,2024-10-13
CUST1279,Customer 280,Business,US,Healthcare,Low,0,2872.61,2020-12-09
CUST1280,Customer 281,Individual,MX,Logistics,Low,0,3545.66,2021-02-07
CUST1281,Customer 282,Individual,AE,Retail,High,0,3897.6,2024-05-24
CUST1282,Customer 283,Individual,US,Hospitality,Medium,0,1704.82,2023-02-07
CUST1283,Customer 284,Individual,US,Student,Low,0,5556.08,2019-08-18
CUST1284,Customer 285,Individual,US,Consulting,Low,0,1616.01,2024-11-13
CUST1285,Customer 286,Individual,GH,Consulting,High,0,3135.28,2025-02-05
CUST1286,Customer 287,Individual,MX,Logistics,Low,0,8708.7,2019-01-21
CUST1287,Customer 288,Individual,SG,Healthcare,Low,0,2292.41,2024-06-25
CUST1288,Customer 289,Individual,US,Construction,High,0,2588.28,2020-02-27
CUST1289,Customer 290,Business,CA,Logistics,Low,0,7459.02,2019-12-10
CUST1290,Customer 291,Individual,CA,Education,Low,0,2817.02,2024-01-10
CUST1291,Customer 292,Individual,US,Retail,Low,0,2985.68,2022-11-22
CUST1292,Customer 293,Individual,MX,Logistics,Low,0,4220.81,2021-11-14
CUST1293,Customer 294,Individual,US,Consulting,Low,0,7339.11,2022-08-26
CUST1294,Customer 295,Individual,US,Education,Medium,0,835.47,2020-04-26
CUST1295,Customer 296,Business,US,Technology,Low,0,2093.81,2023-07-23
CUST1296,Customer 297,Business,US,Construction,Low,0,1858.09,2021-05-04
CUST1297,Customer 298,Business,GB,Logistics,Medium,0,1764.52,2021-01-06
CUST1298,Customer 299,Individual,GB,Hospitality,Medium,0,2057.9,2022-09-03
CUST1299,Customer 300,Individual,US,Healthcare,Low,0,2079.73,2021-07-10
